Start: 23.028690, Duration: 0.203040, Confidence: 0.210000
Start: 23.231730, Duration: 0.203040, Confidence: 0.210000
Start: 23.434770, Duration: 0.202140, Confidence: 0.099000
Start: 23.636910, Duration: 0.202140, Confidence: 0.099000
Start: 23.839050, Duration: 0.203270, Confidence: 0.112000
Start: 24.042310, Duration: 0.203270, Confidence: 0.112000
Start: 24.245580, Duration: 0.205490, Confidence: 0.110000
Start: 24.451060, Duration: 0.205490, Confidence: 0.110000
Start: 24.656550, Duration: 0.209370, Confidence: 0.117000
Start: 24.865920, Duration: 0.209370, Confidence: 0.117000
Start: 25.075280, Duration: 0.213250, Confidence: 0.108000
Start: 25.288530, Duration: 0.213250, Confidence: 0.108000
Start: 25.501770, Duration: 0.216380, Confidence: 0.598000
Start: 25.718150, Duration: 0.216380, Confidence: 0.598000
Start: 25.934540, Duration: 0.215460, Confidence: 0.540000
Start: 26.150000, Duration: 0.215460, Confidence: 0.540000
Start: 26.365450, Duration: 0.214540, Confidence: 0.527000
Start: 26.580000, Duration: 0.214540, Confidence: 0.527000
Start: 26.794540, Duration: 0.213630, Confidence: 0.512000
Start: 27.008170, Duration: 0.213630, Confidence: 0.512000
Start: 27.221790, Duration: 0.214740, Confidence: 0.347000
Start: 27.436530, Duration: 0.214740, Confidence: 0.347000
Start: 27.651270, Duration: 0.211980, Confidence: 0.356000
Start: 27.863250, Duration: 0.211980, Confidence: 0.356000
Start: 28.075240, Duration: 0.210150, Confidence: 0.223000
Start: 28.285390, Duration: 0.210150, Confidence: 0.223000
Start: 28.495550, Duration: 0.212940, Confidence: 0.150000
Start: 28.708490, Duration: 0.212940, Confidence: 0.150000
Start: 28.921430, Duration: 0.213700, Confidence: 0.484000
Start: 29.135130, Duration: 0.213700, Confidence: 0.484000
Start: 29.348830, Duration: 0.212100, Confidence: 0.454000
Start: 29.560940, Duration: 0.212100, Confidence: 0.454000
Start: 29.773040, Duration: 0.211610, Confidence: 0.417000
Start: 29.984650, Duration: 0.211610, Confidence: 0.417000
Start: 30.196260, Duration: 0.208350, Confidence: 0.311000
Start: 30.404600, Duration: 0.208350, Confidence: 0.311000
Start: 30.612950, Duration: 0.207560, Confidence: 0.391000
Start: 30.820520, Duration: 0.207560, Confidence: 0.391000
Start: 31.028080, Duration: 0.208450, Confidence: 0.340000
Start: 31.236530, Duration: 0.208450, Confidence: 0.340000
Start: 31.444980, Duration: 0.202930, Confidence: 0.355000
Start: 31.647910, Duration: 0.202930, Confidence: 0.355000
Start: 31.850850, Duration: 0.200940, Confidence: 0.370000
Start: 32.051790, Duration: 0.200940, Confidence: 0.370000
Start: 32.252730, Duration: 0.203350, Confidence: 0.490000
Start: 32.456090, Duration: 0.203350, Confidence: 0.490000
Start: 32.659440, Duration: 0.202710, Confidence: 0.425000
Start: 32.862150, Duration: 0.202710, Confidence: 0.425000
Start: 33.064860, Duration: 0.202800, Confidence: 0.491000
Start: 33.267660, Duration: 0.202800, Confidence: 0.491000
Start: 33.470460, Duration: 0.204570, Confidence: 0.248000
Start: 33.675030, Duration: 0.204570, Confidence: 0.248000
Start: 33.879600, Duration: 0.205040, Confidence: 0.595000
Start: 34.084640, Duration: 0.205040, Confidence: 0.595000
Start: 34.289680, Duration: 0.208970, Confidence: 0.561000
Start: 34.498650, Duration: 0.208970, Confidence: 0.561000
Start: 34.707610, Duration: 0.208660, Confidence: 0.554000
Start: 34.916270, Duration: 0.208660, Confidence: 0.554000
Start: 35.124930, Duration: 0.206860, Confidence: 0.276000
Start: 35.331790, Duration: 0.206860, Confidence: 0.276000
Start: 35.538650, Duration: 0.204780, Confidence: 0.682000
Start: 35.743430, Duration: 0.204780, Confidence: 0.682000
Start: 35.948220, Duration: 0.204960, Confidence: 0.559000
Start: 36.153170, Duration: 0.204960, Confidence: 0.559000
Start: 36.358130, Duration: 0.204740, Confidence: 0.424000
Start: 36.562870, Duration: 0.204740, Confidence: 0.424000
Start: 36.767610, Duration: 0.204720, Confidence: 0.169000
Start: 36.972330, Duration: 0.204720, Confidence: 0.169000
Start: 37.177050, Duration: 0.206770, Confidence: 0.558000
Start: 37.383810, Duration: 0.206770, Confidence: 0.558000
Start: 37.590580, Duration: 0.208170, Confidence: 0.486000
Start: 37.798750, Duration: 0.208170, Confidence: 0.486000
Start: 38.006910, Duration: 0.211840, Confidence: 0.393000
Start: 38.218750, Duration: 0.211840, Confidence: 0.393000
Start: 38.430590, Duration: 0.217880, Confidence: 0.148000
Start: 38.648470, Duration: 0.217880, Confidence: 0.148000
Start: 38.866350, Duration: 0.216150, Confidence: 0.761000
Start: 39.082510, Duration: 0.216150, Confidence: 0.761000
Start: 39.298660, Duration: 0.214640, Confidence: 0.645000
Start: 39.513300, Duration: 0.214640, Confidence: 0.645000
Start: 39.727940, Duration: 0.213700, Confidence: 0.255000
Start: 39.941640, Duration: 0.213700, Confidence: 0.255000
Start: 40.155340, Duration: 0.212420, Confidence: 0.290000
Start: 40.367760, Duration: 0.212420, Confidence: 0.290000
Start: 40.580170, Duration: 0.212950, Confidence: 0.110000
Start: 40.793130, Duration: 0.212950, Confidence: 0.110000
Start: 41.006080, Duration: 0.210260, Confidence: 0.028000
Start: 41.216340, Duration: 0.210260, Confidence: 0.028000
Start: 41.426600, Duration: 0.208210, Confidence: 0.309000
Start: 41.634810, Duration: 0.208210, Confidence: 0.309000
Start: 41.843020, Duration: 0.211470, Confidence: 0.248000
Start: 42.054490, Duration: 0.211470, Confidence: 0.248000
Start: 42.265960, Duration: 0.211000, Confidence: 0.379000
Start: 42.476960, Duration: 0.211000, Confidence: 0.379000
Start: 42.687960, Duration: 0.213590, Confidence: 0.372000
Start: 42.901540, Duration: 0.213590, Confidence: 0.372000
Start: 43.115130, Duration: 0.213130, Confidence: 0.343000
Start: 43.328260, Duration: 0.213130, Confidence: 0.343000
Start: 43.541380, Duration: 0.210640, Confidence: 0.153000
Start: 43.752020, Duration: 0.210640, Confidence: 0.153000
Start: 43.962660, Duration: 0.210640, Confidence: 0.392000
Start: 44.173290, Duration: 0.210640, Confidence: 0.392000
Start: 44.383930, Duration: 0.208340, Confidence: 0.283000
Start: 44.592270, Duration: 0.208340, Confidence: 0.283000
Start: 44.800610, Duration: 0.204890, Confidence: 0.225000
Start: 45.005500, Duration: 0.204890, Confidence: 0.225000
Start: 45.210400, Duration: 0.205470, Confidence: 0.197000
Start: 45.415870, Duration: 0.205470, Confidence: 0.197000
Start: 45.621330, Duration: 0.203620, Confidence: 0.140000
Start: 45.824950, Duration: 0.203620, Confidence: 0.140000
Start: 46.028560, Duration: 0.203100, Confidence: 0.126000
Start: 46.231660, Duration: 0.203100, Confidence: 0.126000
Start: 46.434760, Duration: 0.202710, Confidence: 0.171000
Start: 46.637470, Duration: 0.202710, Confidence: 0.171000
Start: 46.840170, Duration: 0.199450, Confidence: 0.188000
Start: 47.039620, Duration: 0.199450, Confidence: 0.188000
Start: 47.239070, Duration: 0.200760, Confidence: 0.150000
Start: 47.439830, Duration: 0.200760, Confidence: 0.150000
Start: 47.640590, Duration: 0.204320, Confidence: 0.047000
Start: 47.844910, Duration: 0.204320, Confidence: 0.047000
Start: 48.049220, Duration: 0.207320, Confidence: 0.268000
Start: 48.256540, Duration: 0.207320, Confidence: 0.268000
Start: 48.463860, Duration: 0.208360, Confidence: 0.264000
Start: 48.672220, Duration: 0.208360, Confidence: 0.264000
Start: 48.880580, Duration: 0.207980, Confidence: 0.642000
Start: 49.088560, Duration: 0.207980, Confidence: 0.642000
Start: 49.296540, Duration: 0.209780, Confidence: 0.433000
Start: 49.506310, Duration: 0.209780, Confidence: 0.433000
Start: 49.716090, Duration: 0.213370, Confidence: 0.360000
Start: 49.929460, Duration: 0.213370, Confidence: 0.360000
Start: 50.142830, Duration: 0.214680, Confidence: 0.392000
Start: 50.357520, Duration: 0.214680, Confidence: 0.392000
Start: 50.572200, Duration: 0.214340, Confidence: 0.544000
Start: 50.786540, Duration: 0.214340, Confidence: 0.544000
Start: 51.000880, Duration: 0.214150, Confidence: 0.423000
Start: 51.215030, Duration: 0.214150, Confidence: 0.423000
Start: 51.429170, Duration: 0.213000, Confidence: 0.593000
Start: 51.642170, Duration: 0.213000, Confidence: 0.593000
Start: 51.855170, Duration: 0.212870, Confidence: 0.462000
Start: 52.068030, Duration: 0.212870, Confidence: 0.462000
Start: 52.280900, Duration: 0.213300, Confidence: 0.612000
Start: 52.494200, Duration: 0.213300, Confidence: 0.612000
Start: 52.707510, Duration: 0.212500, Confidence: 0.437000
Start: 52.920010, Duration: 0.212500, Confidence: 0.437000
Start: 53.132500, Duration: 0.210750, Confidence: 0.615000
Start: 53.343250, Duration: 0.210750, Confidence: 0.615000
Start: 53.554000, Duration: 0.210700, Confidence: 0.589000
Start: 53.764700, Duration: 0.210700, Confidence: 0.589000
Start: 53.975400, Duration: 0.210100, Confidence: 0.661000
Start: 54.185500, Duration: 0.210100, Confidence: 0.661000
Start: 54.395600, Duration: 0.210820, Confidence: 0.536000
Start: 54.606420, Duration: 0.210820, Confidence: 0.536000
Start: 54.817240, Duration: 0.212880, Confidence: 0.608000
Start: 55.030120, Duration: 0.212880, Confidence: 0.608000
Start: 55.243000, Duration: 0.212680, Confidence: 0.449000
Start: 55.455670, Duration: 0.212680, Confidence: 0.449000
Start: 55.668350, Duration: 0.212680, Confidence: 0.532000
Start: 55.881020, Duration: 0.212680, Confidence: 0.532000
Start: 56.093700, Duration: 0.212490, Confidence: 0.114000
Start: 56.306190, Duration: 0.212490, Confidence: 0.114000
Start: 56.518680, Duration: 0.211740, Confidence: 0.200000
Start: 56.730410, Duration: 0.211740, Confidence: 0.200000
Start: 56.942150, Duration: 0.211180, Confidence: 0.312000
Start: 57.153330, Duration: 0.211180, Confidence: 0.312000
Start: 57.364520, Duration: 0.211200, Confidence: 0.516000
Start: 57.575710, Duration: 0.211200, Confidence: 0.516000
Start: 57.786910, Duration: 0.210110, Confidence: 0.507000
Start: 57.997020, Duration: 0.210110, Confidence: 0.507000
Start: 58.207140, Duration: 0.211280, Confidence: 0.704000
Start: 58.418420, Duration: 0.211280, Confidence: 0.704000
Start: 58.629700, Duration: 0.211320, Confidence: 0.636000
