Start: 45.210400, Duration: 0.410940, Confidence: 0.197000
Start: 45.621330, Duration: 0.407230, Confidence: 0.140000
Start: 46.028560, Duration: 0.406200, Confidence: 0.126000
Start: 46.434760, Duration: 0.405410, Confidence: 0.171000
Start: 46.840170, Duration: 0.398890, Confidence: 0.188000
Start: 47.239070, Duration: 0.401520, Confidence: 0.150000
Start: 47.640590, Duration: 0.408630, Confidence: 0.047000
Start: 48.049220, Duration: 0.414630, Confidence: 0.268000
Start: 48.463860, Duration: 0.416720, Confidence: 0.264000
Start: 48.880580, Duration: 0.415960, Confidence: 0.642000
Start: 49.296540, Duration: 0.419550, Confidence: 0.433000
Start: 49.716090, Duration: 0.426750, Confidence: 0.360000
Start: 50.142830, Duration: 0.429370, Confidence: 0.392000
Start: 50.572200, Duration: 0.428680, Confidence: 0.544000
Start: 51.000880, Duration: 0.428290, Confidence: 0.423000
Start: 51.429170, Duration: 0.425990, Confidence: 0.593000
Start: 51.855170, Duration: 0.425730, Confidence: 0.462000
Start: 52.280900, Duration: 0.426610, Confidence: 0.612000
Start: 52.707510, Duration: 0.425000, Confidence: 0.437000
Start: 53.132500, Duration: 0.421500, Confidence: 0.615000
Start: 53.554000, Duration: 0.421400, Confidence: 0.589000
Start: 53.975400, Duration: 0.420200, Confidence: 0.661000
Start: 54.395600, Duration: 0.421640, Confidence: 0.536000
Start: 54.817240, Duration: 0.425760, Confidence: 0.608000
Start: 55.243000, Duration: 0.425350, Confidence: 0.449000
Start: 55.668350, Duration: 0.425350, Confidence: 0.532000
Start: 56.093700, Duration: 0.424980, Confidence: 0.114000
Start: 56.518680, Duration: 0.423470, Confidence: 0.200000
Start: 56.942150, Duration: 0.422370, Confidence: 0.312000
Start: 57.364520, Duration: 0.422400, Confidence: 0.516000
Start: 57.786910, Duration: 0.420220, Confidence: 0.507000
Start: 58.207140, Duration: 0.422570, Confidence: 0.704000
Start: 58.629700, Duration: 0.422650, Confidence: 0.636000
Start: 59.052350, Duration: 0.422420, Confidence: 0.745000
Start: 59.474780, Duration: 0.425600, Confidence: 0.456000
Start: 59.900380, Duration: 0.425800, Confidence: 0.121000
Start: 60.326170, Duration: 0.425250, Confidence: 0.333000
Start: 60.751420, Duration: 0.422070, Confidence: 0.599000
Start: 61.173490, Duration: 0.415110, Confidence: 0.606000
Start: 61.588600, Duration: 0.422150, Confidence: 0.825000
Start: 62.010740, Duration: 0.424620, Confidence: 0.756000
Start: 62.435360, Duration: 0.422560, Confidence: 0.729000
Start: 62.857930, Duration: 0.421580, Confidence: 0.461000
Start: 63.279510, Duration: 0.422490, Confidence: 0.317000
Start: 63.702000, Duration: 0.423320, Confidence: 0.517000
Start: 64.125320, Duration: 0.430600, Confidence: 0.667000
Start: 64.555920, Duration: 0.421590, Confidence: 0.605000
Start: 64.977510, Duration: 0.420860, Confidence: 0.694000
Start: 65.398370, Duration: 0.421270, Confidence: 0.638000
Start: 65.819640, Duration: 0.422040, Confidence: 0.527000
Start: 66.241670, Duration: 0.422050, Confidence: 0.493000
Start: 66.663720, Duration: 0.421680, Confidence: 0.295000
Start: 67.085400, Duration: 0.416380, Confidence: 0.254000
Start: 67.501790, Duration: 0.419050, Confidence: 0.330000
Start: 67.920830, Duration: 0.415640, Confidence: 0.376000
Start: 68.336480, Duration: 0.418310, Confidence: 0.500000
Start: 68.754780, Duration: 0.418690, Confidence: 0.572000
Start: 69.173470, Duration: 0.419450, Confidence: 0.567000
Start: 69.592920, Duration: 0.419830, Confidence: 0.117000
Start: 70.012750, Duration: 0.424380, Confidence: 0.220000
Start: 70.437120, Duration: 0.426270, Confidence: 0.359000
Start: 70.863390, Duration: 0.430440, Confidence: 0.527000
Start: 71.293830, Duration: 0.431190, Confidence: 0.535000
Start: 71.725020, Duration: 0.429290, Confidence: 0.636000
Start: 72.154310, Duration: 0.428900, Confidence: 0.612000
Start: 72.583210, Duration: 0.429280, Confidence: 0.454000
Start: 73.012490, Duration: 0.426990, Confidence: 0.369000
Start: 73.439480, Duration: 0.424710, Confidence: 0.402000
Start: 73.864180, Duration: 0.423550, Confidence: 0.211000
Start: 74.287730, Duration: 0.418230, Confidence: 0.349000
Start: 74.705960, Duration: 0.426150, Confidence: 0.517000
Start: 75.132110, Duration: 0.426120, Confidence: 0.674000
Start: 75.558230, Duration: 0.424200, Confidence: 0.563000
Start: 75.982430, Duration: 0.424160, Confidence: 0.623000
Start: 76.406590, Duration: 0.421100, Confidence: 0.393000
Start: 76.827690, Duration: 0.421050, Confidence: 0.552000
Start: 77.248740, Duration: 0.422910, Confidence: 0.478000
Start: 77.671650, Duration: 0.419080, Confidence: 0.615000
Start: 78.090730, Duration: 0.423210, Confidence: 0.417000
Start: 78.513940, Duration: 0.427710, Confidence: 0.324000
Start: 78.941650, Duration: 0.425790, Confidence: 0.159000
